"filename", "language", "C++", "CMake", "Makefile", "CMake Cache", "JSON", "Log", "C", "XML", "comment", "blank", "total"
"/home/kevin/qt_test1/include/3rdparty/drm/include/xf86drmMode.h", "C++", 323, 0, 0, 0, 0, 0, 0, 0, 136, 93, 552
"/home/kevin/qt_test1/include/3rdparty/rga/include/RgaApi.h", "C++", 26, 0, 0, 0, 0, 0, 0, 0, 11, 7, 44
"/home/kevin/qt_test1/include/3rdparty/rga/include/RockchipFileOps.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 12, 4, 21
"/home/kevin/qt_test1/include/3rdparty/rga/include/RockchipRga.h", "C++", 39, 0, 0, 0, 0, 0, 0, 0, 18, 17, 74
"/home/kevin/qt_test1/include/3rdparty/rga/include/RockchipRgaMacro.h", "C++", 8, 0, 0, 0, 0, 0, 0, 0, 16, 4, 28
"/home/kevin/qt_test1/include/3rdparty/rga/include/drmrga.h", "C++", 106, 0, 0, 0, 0, 0, 0, 0, 32, 20, 158
"/home/kevin/qt_test1/include/3rdparty/rga/include/rga.h", "C++", 574, 0, 0, 0, 0, 0, 0, 0, 39, 140, 753
"/home/kevin/qt_test1/include/3rdparty/stb/stb_image.h", "C++", 5537, 0, 0, 0, 0, 0, 0, 0, 1196, 827, 7560
"/home/kevin/qt_test1/include/3rdparty/stb/stb_image_resize.h", "C++", 1870, 0, 0, 0, 0, 0, 0, 0, 362, 399, 2631
"/home/kevin/qt_test1/include/3rdparty/stb/stb_image_write.h", "C++", 1158, 0, 0, 0, 0, 0, 0, 0, 299, 163, 1620
"/home/kevin/qt_test1/include/CFaceInfo.h", "C++", 18, 0, 0, 0, 0, 0, 0, 0, 0, 6, 24
"/home/kevin/qt_test1/include/CStream.h", "C++", 13, 0, 0, 0, 0, 0, 0, 0, 0, 6, 19
"/home/kevin/qt_test1/include/CStruct.h", "C++", 80, 0, 0, 0, 0, 0, 0, 0, 0, 18, 98
"/home/kevin/qt_test1/include/CommonStruct.h", "C++", 73, 0, 0, 0, 0, 0, 0, 0, 1, 17, 91
"/home/kevin/qt_test1/include/DataHelper.h", "C++", 390, 0, 0, 0, 0, 0, 0, 0, 4, 75, 469
"/home/kevin/qt_test1/include/FaceDatabase.h", "C++", 52, 0, 0, 0, 0, 0, 0, 0, 22, 19, 93
"/home/kevin/qt_test1/include/FaceDetector.h", "C++", 34, 0, 0, 0, 0, 0, 0, 0, 28, 12, 74
"/home/kevin/qt_test1/include/FaceEngine.h", "C++", 130, 0, 0, 0, 0, 0, 0, 0, 0, 31, 161
"/home/kevin/qt_test1/include/FaceLandmarker.h", "C++", 28, 0, 0, 0, 0, 0, 0, 0, 21, 10, 59
"/home/kevin/qt_test1/include/FaceRecognizer.h", "C++", 36, 0, 0, 0, 0, 0, 0, 0, 52, 19, 107
"/home/kevin/qt_test1/include/FaceRecognizerPrivate.cpp", "C++", 593, 0, 0, 0, 0, 0, 0, 0, 17, 139, 749
"/home/kevin/qt_test1/include/FaceRecognizerPrivate.h", "C++", 68, 0, 0, 0, 0, 0, 0, 0, 127, 41, 236
"/home/kevin/qt_test1/include/ImageProcess.cpp", "C++", 487, 0, 0, 0, 0, 0, 0, 0, 16, 70, 573
"/home/kevin/qt_test1/include/ImageProcess.h", "C++", 29, 0, 0, 0, 0, 0, 0, 0, 1, 7, 37
"/home/kevin/qt_test1/include/Mutex.h", "C++", 99, 0, 0, 0, 0, 0, 0, 0, 0, 22, 121
"/home/kevin/qt_test1/include/QualityAssessor.h", "C++", 39, 0, 0, 0, 0, 0, 0, 0, 19, 7, 65
"/home/kevin/qt_test1/include/SeetaFaceRecognizerConfig.h", "C++", 6, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10
"/home/kevin/qt_test1/include/SeetaModelHeader.h", "C++", 90, 0, 0, 0, 0, 0, 0, 0, 10, 23, 123
"/home/kevin/qt_test1/include/SeetaNetParseProto.cpp", "C++", 353, 0, 0, 0, 0, 0, 0, 0, 0, 57, 410
"/home/kevin/qt_test1/include/SeetaNetParseProto.h", "C++", 29, 0, 0, 0, 0, 0, 0, 0, 0, 10, 39
"/home/kevin/qt_test1/include/Stream.h", "C++", 165, 0, 0, 0, 0, 0, 0, 0, 0, 34, 199
"/home/kevin/qt_test1/include/Struct.h", "C++", 538, 0, 0, 0, 0, 0, 0, 0, 16, 147, 701
"/home/kevin/qt_test1/include/Struct_cv.h", "C++", 51, 0, 0, 0, 0, 0, 0, 0, 1, 5, 57
"/home/kevin/qt_test1/include/common_alignment.cpp", "C++", 336, 0, 0, 0, 0, 0, 0, 0, 85, 26, 447
"/home/kevin/qt_test1/include/common_alignment.h", "C++", 31, 0, 0, 0, 0, 0, 0, 0, 29, 6, 66
"/home/kevin/qt_test1/include/drm_func.h", "C++", 40, 0, 0, 0, 0, 0, 0, 0, 4, 11, 55
"/home/kevin/qt_test1/include/graphics2d.cpp", "C++", 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3
"/home/kevin/qt_test1/include/graphics2d.h", "C++", 275, 0, 0, 0, 0, 0, 0, 0, 108, 45, 428
"/home/kevin/qt_test1/include/postprocess.h", "C++", 32, 0, 0, 0, 0, 0, 0, 0, 0, 8, 40
"/home/kevin/qt_test1/include/rga_func.h", "C++", 24, 0, 0, 0, 0, 0, 0, 0, 1, 10, 35
"/home/kevin/qt_test1/include/rknn_api.h", "C++", 137, 0, 0, 0, 0, 0, 0, 0, 244, 64, 445
"/home/kevin/qt_test1/include/seeta/FaceDetector.h", "C++", 34, 0, 0, 0, 0, 0, 0, 0, 28, 12, 74
"/home/kevin/qt_test1/log.cpp", "C++", 21, 0, 0, 0, 0, 0, 0, 0, 0, 9, 30
"/home/kevin/qt_test1/log.h", "C++", 22, 0, 0, 0, 0, 0, 0, 0, 2, 12, 36
"/home/kevin/qt_test1/logout.cpp", "C++", 81, 0, 0, 0, 0, 0, 0, 0, 11, 29, 121
"/home/kevin/qt_test1/logout.h", "C++", 30, 0, 0, 0, 0, 0, 0, 0, 2, 12, 44
"/home/kevin/qt_test1/main.cpp", "C++", 14, 0, 0, 0, 0, 0, 0, 0, 0, 6, 20
"/home/kevin/qt_test1/mainwindow.cpp", "C++", 64, 0, 0, 0, 0, 0, 0, 0, 0, 16, 80
"/home/kevin/qt_test1/mainwindow.h", "C++", 27, 0, 0, 0, 0, 0, 0, 0, 0, 16, 43
"/home/kevin/qt_test1/postprocess.cc", "C++", 296, 0, 0, 0, 0, 0, 0, 0, 19, 42, 357
"/home/kevin/qt_test1/qiodevice.cpp", "C++", 4, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7
"/home/kevin/qt_test1/qiodevice.h", "C++", 8, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"/home/kevin/qt_test1/rga_func.c", "C", 0, 0, 0, 0, 0, 0, 78, 0, 16, 20, 114
"/home/kevin/qt_test1/switchdatabase.cpp", "C++", 12, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"/home/kevin/qt_test1/switchdatabase.h", "C++", 16, 0, 0, 0, 0, 0, 0, 0, 0, 7, 23
"Total", "-", 77453, 351, 154, 302, 178, 425, 721, 9, 16143, 9566, 105302
